,國文,英文,數學,社會,自然
0,12,8,13,13,14
1,8,8,14,11,9
2,9,7,10,12,15
3,12,14,15,13,14
4,14,12,15,10,12
5,8,6,14,7,14
6,13,6,8,12,13
7,14,14,12,8,6
8,9,9,14,15,14
9,13,14,9,13,9
10,10,11,13,6,9
11,9,13,10,11,13
12,9,8,13,7,13
13,9,13,6,8,11
14,12,13,12,7,8
15,9,11,8,9,14
16,11,12,8,7,9
17,14,15,8,8,15
18,13,9,14,14,8
19,10,11,15,9,12
20,12,6,13,11,6
21,10,6,9,7,12
22,7,13,13,11,10
23,10,6,13,6,10
24,8,10,13,11,12
25,12,9,12,8,11
26,12,15,9,6,9
27,6,6,12,10,13
28,13,13,7,7,7
29,15,14,10,8,13
30,10,8,8,13,12
31,6,11,14,7,12
32,15,15,12,14,11
33,14,15,6,11,6
34,15,13,8,11,10
35,6,10,12,8,14
36,11,13,8,10,12
37,6,10,9,9,15
38,15,6,12,12,11
39,15,15,11,9,12
40,6,8,15,12,10
41,7,9,7,11,13
42,9,8,15,6,14
43,10,10,9,14,12
44,14,14,15,12,12
45,11,6,8,12,11
46,13,11,6,12,13
47,6,7,6,9,12
48,6,9,9,15,13
49,8,15,10,6,14
50,8,8,13,12,15
51,15,7,14,11,15
52,9,9,14,14,10
53,8,10,8,9,6
54,12,13,7,14,13
55,11,15,9,7,9
56,9,7,11,6,7
57,6,7,9,13,7
58,13,9,9,8,15
59,11,14,12,15,7
60,9,10,12,12,7
61,7,15,12,11,13
62,11,13,15,6,11
63,10,10,14,8,8
64,7,14,14,13,9
65,9,9,15,14,7
66,13,15,15,9,12
67,7,13,9,13,8
68,7,14,7,10,11
69,15,7,12,7,10
70,15,9,13,15,13
71,11,8,14,7,6
72,15,12,13,10,9
73,9,6,13,12,15
74,9,8,8,13,6
75,7,9,8,8,11
76,12,13,9,6,7
77,7,11,13,9,15
78,11,9,15,10,7
79,13,13,12,6,11
80,15,8,13,15,8
81,7,14,13,11,15
82,11,10,13,9,10
83,12,10,11,9,7
84,7,7,8,10,7
85,7,14,12,12,7
86,7,9,9,14,10
87,7,11,12,15,15
88,15,14,7,6,15
89,12,9,8,14,8
90,13,13,7,14,7
91,14,13,12,7,8
92,9,14,15,15,13
93,13,7,11,7,7
94,13,15,15,7,6
95,6,7,10,6,6
96,15,8,11,14,8
97,8,10,9,11,7
98,15,10,8,10,9
99,9,8,14,14,9
