國文,英文,數學,社會,自然
12,8,13,13,14
8,8,14,11,9
9,7,10,12,15
12,14,15,13,14
14,12,15,10,12
8,6,14,7,14
13,6,8,12,13
14,14,12,8,6
9,9,14,15,14
13,14,9,13,9
10,11,13,6,9
9,13,10,11,13
9,8,13,7,13
9,13,6,8,11
12,13,12,7,8
9,11,8,9,14
11,12,8,7,9
14,15,8,8,15
13,9,14,14,8
10,11,15,9,12
12,6,13,11,6
10,6,9,7,12
7,13,13,11,10
10,6,13,6,10
8,10,13,11,12
12,9,12,8,11
12,15,9,6,9
6,6,12,10,13
13,13,7,7,7
15,14,10,8,13
10,8,8,13,12
6,11,14,7,12
15,15,12,14,11
14,15,6,11,6
15,13,8,11,10
6,10,12,8,14
11,13,8,10,12
6,10,9,9,15
15,6,12,12,11
15,15,11,9,12
6,8,15,12,10
7,9,7,11,13
9,8,15,6,14
10,10,9,14,12
14,14,15,12,12
11,6,8,12,11
13,11,6,12,13
6,7,6,9,12
6,9,9,15,13
8,15,10,6,14
8,8,13,12,15
15,7,14,11,15
9,9,14,14,10
8,10,8,9,6
12,13,7,14,13
11,15,9,7,9
9,7,11,6,7
6,7,9,13,7
13,9,9,8,15
11,14,12,15,7
9,10,12,12,7
7,15,12,11,13
11,13,15,6,11
10,10,14,8,8
7,14,14,13,9
9,9,15,14,7
13,15,15,9,12
7,13,9,13,8
7,14,7,10,11
15,7,12,7,10
15,9,13,15,13
11,8,14,7,6
15,12,13,10,9
9,6,13,12,15
9,8,8,13,6
7,9,8,8,11
12,13,9,6,7
7,11,13,9,15
11,9,15,10,7
13,13,12,6,11
15,8,13,15,8
7,14,13,11,15
11,10,13,9,10
12,10,11,9,7
7,7,8,10,7
7,14,12,12,7
7,9,9,14,10
7,11,12,15,15
15,14,7,6,15
12,9,8,14,8
13,13,7,14,7
14,13,12,7,8
9,14,15,15,13
13,7,11,7,7
13,15,15,7,6
6,7,10,6,6
15,8,11,14,8
8,10,9,11,7
15,10,8,10,9
9,8,14,14,9
